Mean,High,Low,Open,Ma,Rsi,CCI,adx,Macd,atr,Chaiken,HighLow,Aligator,AC,AD,Close,Date,Dt,Mom-BollObv,Adx-Boll
7172,7211,7133,0.90195,0.90212,49.24384,-33.86957,24.09542,-0.00053,0.00112,1637023,-7067.95392,0.90212,4.00E-05,-1953883.86,0.90195,2018.12.31 02:00:00,1,1,1
7174.5,7201,7148,0.90166,0.90208,48.11852,-41.93833,22.21327,-0.00049,0.00111,1635244,-6608.71014,0.90208,0.00015,-1954387.35,0.90167,2018.12.31 03:00:00,1,1,1
7138.5,7166,7111,0.90136,0.90201,46.8733,-51.32005,21.94098,-0.00048,0.00111,1634021,-6163.07944,0.90201,0.0002,-1954498.532,0.90136,2018.12.31 04:00:00,1,1,1
7131.5,7144,7119,0.90137,0.90195,46.8733,-46.88819,21.69343,-0.00046,0.00109,1634021,-5663.21488,0.90195,0.00035,-1954146.812,0.90136,2018.12.31 05:00:00,1,1,1
7089,7145,7033,0.90034,0.90181,42.85071,-96.32412,22.8434,-0.00053,0.00109,1632512,-5429.46996,0.90181,0.0003,-1955628.866,0.90034,2018.12.31 06:00:00,1,1,1
7052.5,7074,7031,0.90067,0.9017,44.46959,-76.77378,23.96237,-0.00055,0.00106,1633676,-5021.81132,0.9017,0.00011,-1954843.843,0.90067,2018.12.31 07:00:00,1,1,1
7087,7107,7067,0.90101,0.90164,46.16779,-50.35294,22.59828,-0.00053,0.001,1635939,-4359.71312,0.90164,-2.00E-05,-1953146.593,0.90102,2018.12.31 08:00:00,1,1,1
6941.5,7111,6772,0.89783,0.90129,35.71521,-301.131,22.87773,-0.00076,0.00108,1632029,-4390.87486,0.90129,-0.00027,-1956802.846,0.89783,2018.12.31 09:00:00,1,1,1
6829,6907,6751,0.89771,0.90097,35.39865,-252.2792,23.33648,-0.00094,0.00109,1626538,-4961.90524,0.90097,-0.00056,-1960885.898,0.89771,2018.12.31 10:00:00,1,1,1
6796.5,6857,6736,0.89775,0.90067,35.54861,-204.32738,23.94862,-0.00107,0.0011,1631475,-5530.5763,0.90067,-0.00072,-1962721.972,0.89774,2018.12.31 11:00:00,1,1,1
6800,6870,6730,0.89857,0.90048,39.62012,-128.71377,24.22196,-0.0011,0.00111,1637267,-5042.28438,0.90048,-0.00074,-1958005.629,0.89857,2018.12.31 12:00:00,1,1,1
6778.5,6878,6679,0.8969,0.90016,34.95502,-186.31208,24.92048,-0.00124,0.00113,1630456,-5558.53742,0.90016,-0.00078,-1964063.654,0.8969,2018.12.31 13:00:00,1,1,1
6570.5,6691,6450,0.89479,0.89967,30.23249,-221.29501,26.89598,-0.0015,0.00115,1625670,-6362.36315,0.89967,-0.00085,-1967697.837,0.89479,2018.12.31 14:00:00,1,1,1
6458.5,6515,6402,0.89507,0.89925,31.52158,-167.79194,29.15862,-0.00167,0.00116,1629603,-6228.71777,0.89925,-0.00088,-1964321.722,0.89507,2018.12.31 15:00:00,1,1,1
6414.5,6516,6313,0.89329,0.89871,28.06075,-185.2727,31.6473,-0.00192,0.0012,1625401,-6559.15484,0.89871,-0.00091,-1967861.338,0.89329,2018.12.31 16:00:00,1,1,1
6521.5,6770,6273,0.89759,0.89861,43.70259,-48.22589,32.31398,-0.00176,0.00138,1632026,-5632.30015,0.89861,-0.00078,-1961556.257,0.89758,2018.12.31 17:00:00,1,1,1
6806.5,6867,6746,0.89779,0.89853,44.29548,-37.54138,30.87176,-0.00159,0.00141,1638076,-5325.75605,0.89853,-0.00025,-1964406.257,0.89778,2018.12.31 18:00:00,1,1,1
6828.5,6914,6743,0.89838,0.89852,46.02632,-16.3545,28.95067,-0.0014,0.00146,1639914,-4970.05887,0.89852,0.0005,-1964245.029,0.89836,2018.12.31 19:00:00,1,1,1
6838.5,6891,6786,0.89907,0.89849,45.79448,-16.48305,27.20422,-0.00124,0.00144,1638342,-4669.36401,0.89849,0.00124,-1964589.372,0.89827,2018.12.31 20:00:00,1,1,1
6892.5,6911,6874,0.89874,0.89852,47.31164,2.55672,25.04834,-0.00106,0.00143,1639394,-4507.49314,0.89852,0.00182,-1965527.642,0.89876,2019.01.02 06:00:00,1,1,1
6926,6980,6872,0.89975,0.89863,50.2366,40.8561,23.80799,-0.00083,0.00143,1641201,-4039.14826,0.89863,0.00198,-1963921.42,0.89974,2019.01.02 07:00:00,1,1,1
7006.5,7047,6966,0.9004,0.89879,52.08892,70.07549,24.0504,-0.00059,0.00143,1643520,-3331.96699,0.89879,0.00164,-1962060.494,0.90039,2019.01.02 08:00:00,1,1,1
